   Time             I(L7)             i_out_M_BB1       udc_BB1           i_pred_BB1        iL_BB1            Uref_BB1          pwmBB1            i_ref_BB1       
  7.700000000E-04   2.104956495E+01   2.833616406E+00   1.416808511E+02   0.000000000E+00   2.162864163E+01   2.400000000E+02   0.000000000E+00   1.544980812E+01 
  7.800000000E-04   2.045895083E+01   2.851964041E+00   1.425982331E+02   0.000000000E+00   2.104956495E+01   2.400000000E+02   0.000000000E+00   1.556759357E+01 
  7.900000000E-04   1.985994344E+01   2.869706016E+00   1.434853325E+02   0.000000000E+00   2.045895082E+01   2.400000000E+02   0.000000000E+00   1.567132664E+01 
  8.000000000E-04   1.925002554E+01   2.886987104E+00   1.443493868E+02   0.000000000E+00   1.985994344E+01   2.400000000E+02   1.000000000E+00   1.576108932E+01 
  8.100000000E-04   2.056986260E+01   2.903646752E+00   1.451823695E+02   0.000000000E+00   1.925002554E+01   2.400000000E+02   1.000000000E+00   1.583696747E+01 
  8.200000000E-04   2.188882002E+01   2.900745272E+00   1.450372953E+02   0.000000000E+00   2.056986261E+01   2.400000000E+02   0.000000000E+00   1.591842651E+01 
  8.300000000E-04   2.126668763E+01   2.897846699E+00   1.448923660E+02   0.000000000E+00   2.188882002E+01   2.400000000E+02   0.000000000E+00   1.602464485E+01 
  8.400000000E-04   2.063295911E+01   2.916357857E+00   1.458179247E+02   0.000000000E+00   2.126668762E+01   2.400000000E+02   0.000000000E+00   1.613570786E+01 
  8.500000000E-04   1.999081136E+01   2.934220142E+00   1.467110393E+02   0.000000000E+00   2.063295911E+01   2.400000000E+02   0.000000000E+00   1.623199081E+01 
  8.600000000E-04   1.933773768E+01   2.951589110E+00   1.475794876E+02   0.000000000E+00   1.999081135E+01   2.400000000E+02   1.000000000E+00   1.631358910E+01 
  8.700000000E-04   2.065751628E+01   2.968293423E+00   1.484147035E+02   0.000000000E+00   1.933773768E+01   2.400000000E+02   1.000000000E+00   1.638060188E+01 
  8.800000000E-04   2.197641528E+01   2.965327340E+00   1.482663993E+02   0.000000000E+00   2.065751630E+01   2.400000000E+02   0.000000000E+00   1.645294189E+01 
  8.900000000E-04   2.131123712E+01   2.962364221E+00   1.481182434E+02   0.000000000E+00   2.197641528E+01   2.400000000E+02   0.000000000E+00   1.655022240E+01 
  9.000000000E-04   2.063451913E+01   2.980866185E+00   1.490433418E+02   0.000000000E+00   2.131123711E+01   2.400000000E+02   0.000000000E+00   1.665209389E+01 
  9.100000000E-04   1.994944198E+01   2.998676301E+00   1.499338480E+02   0.000000000E+00   2.063451912E+01   2.400000000E+02   0.000000000E+00   1.673851013E+01 
