Time,I_L4_,I_L5_,I_L6_,I_L7_,iout_est_filt_COMP,i_out_M_COMP,iout_est_COMP,udc_COMP,i_pred_COMP,i_ref_COMP,iL_COMP,Uref_COMP,iout_est_filt_MPC,i_out_M_MPC,iout_est_MPC,udc_MPC,i_pred_MPC,i_ref_IP2,iL_MPC,Uref_MPC,iout_est_filt_BB,i_out_M_BB,iout_est_BB,udc_BB,i_pred_BB,i_ref_BB,iL_BB,Uref_BB,i_exp,pwmBB,i_out_M_BB1,udc_BB1,i_pred_BB1,iL_BB1,Uref_BB1,pwmBB1,i_ref_BB1
0.2598325,2.170047903,1.665145719,-0.3572644264,18.97956327,-0.1482491572,0.1603381907,6.065979004,160.4978186,1.600557685,-0.861920476,2.210454497,160,-0.1483097808,0.1597562598,6.078338623,159.8840161,1.100355864,0.5811921358,1.705125847,160,0.1617287704,0.1605497388,0.1210971177,160.5450323,0,0.2591052949,-0.3169127254,160,-0.8632660508,0,0.1624103945,162.6474632,0,19.02197744,160,0,1.556656361
0.25982,3.179437828,2.664123638,0.6520157372,20.03075559,-0.1482491572,0.1603381907,6.065979004,160.3381925,1.600557685,-0.861920476,3.219773447,160,-0.1483097808,0.1597562598,6.078338623,159.7562626,1.100355864,0.5811921358,2.704053458,160,0.161940796,0.1605433901,0.120303154,160.5433883,0,0.2584781945,0.6924007003,160,-0.8632660508,0,0.161435846,161.4358448,0,20.07240585,160,0,1.18734324
0.2598295,2.412455083,1.905006541,-0.1151234443,19.23359659,-0.1482491572,0.1603381907,6.065979004,160.4652512,1.600557685,-0.861920476,2.45284825,160,-0.1483097808,0.1597562598,6.078338623,159.8590386,1.100355864,0.5811921358,1.944978216,160,0.161940796,0.1605433901,0.120303154,160.5503783,0,0.2584781945,-0.07475990671,160,-0.8632660508,0,0.161435846,162.3626661,0,19.27582957,160,0,1.18734324
0.259823,2.937354012,2.424491158,0.409718918,19.78023005,-0.1482491572,0.1603381907,6.065979004,160.3822177,1.600557685,-0.861920476,2.977709762,160,-0.1483097808,0.1597562598,6.078338623,159.7925796,1.100355864,0.5811921358,2.464436278,160,0.161940796,0.1605433901,0.120303154,160.5494981,0,0.2584781945,0.4500998045,160,-0.8632660508,0,0.161435846,161.7325784,0,19.82206166,160,0,1.18734324
0.2598225,2.977709761,2.464436281,0.450099808,19.82206166,-0.1482491572,0.1603381907,6.065979004,160.3751239,1.600557685,-0.861920476,3.018062159,160,-0.1483097808,0.1597562598,6.078338623,159.7867681,1.100355864,0.5811921358,2.504378894,160,0.161940796,0.1605433901,0.120303154,160.5487238,0,0.2584781945,0.4904815576,160,-0.8632660508,0,0.161435846,161.6833753,0,19.86386188,160,0,1.18734324
0.259833,2.129639306,1.625164411,-0.3976139194,18.93711915,-0.1482491572,0.1603381907,6.065979004,160.502893,1.600557685,-0.861920476,2.170047903,160,-0.1483097808,0.1597562598,6.078338623,159.8878292,1.100355864,0.5811921358,1.665145717,160,0.1617287704,0.1605497388,0.1210971177,160.5437881,0,0.2591052949,-0.357264426,160,-0.8632660508,0,0.1624103945,162.6945584,0,18.97956327,160,0,1.556656361
0.2598245,2.816267339,2.304641398,0.2885821034,19.65454772,-0.1482491572,0.1603381907,6.065979004,160.4028934,1.600557685,-0.861920476,2.856632733,160,-0.1483097808,0.1597562598,6.078338623,159.8094148,1.100355864,0.5811921358,2.344593646,160,0.161940796,0.1605433901,0.120303154,160.5512153,0,0.2584781945,0.3289599952,160,-0.8632660508,0,0.161435846,161.8795594,0,19.69647301,160,0,1.18734324
0.259835,1.967986246,1.465228756,-0.5589884646,18.76704464,-0.1482491572,0.1603381907,6.065979004,160.52218,1.600557685,-0.861920476,2.008402177,160,-0.1483097808,0.1597562598,6.078338623,159.9020819,1.100355864,0.5811921358,1.505214097,160,0.1617287704,0.1605497388,0.1210971177,160.537803,0,0.2591052949,-0.5186484771,160,-0.8632660508,0,0.1624103945,162.8818766,0,18.80960783,160,0,1.556656361
0.259836,1.887149457,1.385255608,-0.6396607408,18.68182958,-0.1482491572,0.1603381907,6.065979004,160.5312172,1.600557685,-0.861920476,1.927568647,160,-0.1483097808,0.1597562598,6.078338623,159.9086084,1.100355864,0.5811921358,1.425242569,160,0.1617287704,0.1605497388,0.1210971177,160.5342053,0,0.2591052949,-0.5993259116,160,-0.8632660508,0,0.1624103945,162.974897,0,18.72445187,160,0,1.556656361
0.259826,2.695152941,2.184771454,0.1674554845,19.52858558,-0.1482491572,0.1603381907,6.065979004,160.4226608,1.600557685,-0.861920476,2.735527374,160,-0.1483097808,0.1597562598,6.078338623,159.825351,1.100355864,0.5811921358,2.224730231,160,0.161940796,0.1605433901,0.120303154,160.552024,0,0.2584781945,0.2078297783,160,-0.8632660508,0,0.161435846,162.0255964,0,19.57060393,160,0,1.18734324
0.2598335,2.089228774,1.585181994,-0.4379611369,18.89464516,-0.1482491572,0.1603381907,6.065979004,160.5078663,1.600557685,-0.861920476,2.129639302,160,-0.1483097808,0.1597562598,6.078338623,159.8915423,1.100355864,0.5811921358,1.625164408,160,0.1617287704,0.1605497388,0.1210971177,160.5424431,0,0.2591052949,-0.3976139205,160,-0.8632660508,0,0.1624103945,162.7415474,0,18.93711915,160,0,1.556656361
0.259837,1.806306549,1.305279623,-0.7203223034,18.59649674,-0.1482491572,0.1603381907,6.065979004,160.5398502,1.600557685,-0.861920476,1.846728733,160,-0.1483097808,0.1597562598,6.078338623,159.9147351,1.100355864,0.5811921358,1.345267933,160,0.1617287704,0.1605497388,0.1210971177,160.5302042,0,0.2591052949,-0.6799928975,160,-0.8632660508,0,0.1624103945,163.0674909,0,18.63917785,160,0,1.556656361
